Name,Wins,Losses,W-L%,ERA,Strikeouts per 9 (SO9),WHIP
Chris Sale*,3,.857,2.38,29,N/A,5.77
Max Fried*,10,.524,3.25,29,N/A,2.91
Charlie Morton,10,.444,4.19,30,N/A,2.57
Reynaldo López,5,.615,1.99,26,N/A,3.52
Spencer Schwellenbach,7,.533,3.35,21,N/A,5.52
Raisel Iglesias,2,.750,1.95,66,N/A,5.23
Joe Jiménez,5,.167,2.62,69,N/A,3.57
Dylan Lee*,2,.667,2.11,52,N/A,4.47
Pierce Johnson,6,.500,3.67,58,N/A,2.68
Aaron Bummer*,3,.571,3.58,56,N/A,3.83
Grant Holmes,1,.667,3.56,26,N/A,4.67
Jesse Chavez,2,.500,3.13,46,N/A,2.89
Bryce Elder,5,.286,6.52,10,N/A,2.71
A.J. Minter*,4,.556,2.62,39,N/A,3.18
Ray Kerr*,2,.333,5.64,10,N/A,3.86
Luke Jackson,1,.000,4.50,16,N/A,2.36
Daysbel Hernández,0,1.000,2.50,16,N/A,2.60
Darius Vines,1,.000,8.56,4,N/A,2.25
Jimmy Herget,1,.000,4.38,8,N/A,5.00
Tyler Matzek*,0,,9.90,11,N/A,3.33
Spencer Strider,0,,7.00,2,N/A,2.40
Allan Winans,2,.000,15.26,2,N/A,1.00
Hurston Waldrep,1,.000,16.71,2,N/A,0.38
John Brebbia,0,,2.70,5,N/A,4.50
AJ Smith-Shawver,0,,0.00,1,N/A,2.00
Luke Williams,0,,4.50,3,N/A,0.00
Jackson Stephens,0,,2.70,3,N/A,2.00
Parker Dunshee,0,,19.29,1,N/A,1.50
Dylan Dodd*,0,,9.00,1,N/A,2.00
Luis Guillorme,0,,36.00,1,N/A,0.00
